tag_no,category_name,category_prefix,product_name,image_filename,Sizes,Quantity,short_description, total_amount ,,,,
KW-DW-001,Daily Wear,DW,Azure - Nova,KW-DW-001,N/A,9,"Minimalist gold tone pendant set featuring matching stud earrings with brilliant clear artificial stones in a delicate floral inspired design, perfect for elegant everyday wear.", QAR 85.00 ,,,,
KW-DW-002,Daily Wear,DW,Azure - Nour,KW-DW-002,N/A,9,"Classic gold tone pendant set with matching round stud earrings, beautifully adorned with sparkling clear artificial stones for a timeless and versatile everyday style.", QAR 58.00 ,,,,
KW-DW-003-1,Daily Wear,DW,Azure - Luna Green,KW-DW-003-1,N/A,5,"Elegant silver tone pendant set featuring matching floral earrings embellished with vibrant green and shimmering clear artificial stones, adding a fresh and graceful touch to any outfit.", QAR 125.00 ,,,,
KW-DW-003-2,Daily Wear,DW,Azure - Luna Blue,KW-DW-003-2,N/A,5,"Premium silver tone pendant set with matching floral earrings, accented with rich blue and sparkling clear artificial stones for a refined and eye catching finish.", QAR 125.00 ,,,,
KW-DW-003-3,Daily Wear,DW,Azure - Luna Mint Green,KW-DW-003-3,N/A,5,"Stylish silver tone pendant set showcasing matching floral earrings with mint green, toned and clear artificial stones, creating a soft yet sophisticated everyday look.", QAR 125.00 ,,,,
KW-DW-003-4,Daily Wear,DW,Azure - Luna Black,KW-DW-003-4,N/A,5,"Elegant silver tone pendant set featuring matching floral earrings adorned with striking black and brilliant clear artificial stones, offering a bold and contemporary statement.", QAR 125.00 ,,,,
KW-DW-004-1,Daily Wear,DW,Azure - Halo Black,KW-DW-004-1,N/A,3,"Sophisticated silver tone pendant set with matching floral earrings, beautifully crafted with black and clear artificial stones for a timeless design that complements both casual and formal attire.", QAR 125.00 ,,,,
KW-DW-004-2,Daily Wear,DW,Azure - Halo Silver,KW-DW-004-2,N/A,3,"Timeless floral jewelry set featuring dazzling white zircon stones in a graceful silver-tone finish. Perfect for weddings, evening events, and elegant celebrations.", QAR 125.00 ,,,,
KW-DW-004-3,Daily Wear,DW,Azure - Halo Blue,KW-DW-004-3,N/A,3,A sophisticated floral pendant and earring set adorned with deep blue stones and brilliant white accents. Designed to add a luxurious touch to any special occasion, QAR 125.00 ,,,,
KW-DW-004-4,Daily Wear,DW,Azure - Halo Green,KW-DW-004-4,N/A,3,An exquisite silver-tone jewelry set embellished with vibrant green artificial stones in a delicate floral design. A striking choice for festive occasions and formal wear, QAR 125.00 ,,,,
KW-DW-004-5,Daily Wear,DW,Azure - Halo Magenta,KW-DW-004-5,N/A,3,A captivating floral jewelry set featuring rich ruby  red artificial stones surrounded by sparkling white zircon accents. Crafted to make every celebration unforgettable, QAR 125.00 ,,,,
KW-DW-005-1,Daily Wear,DW,Azure - Eva Red,KW-DW-005,N/A,3,An elegant gold-tone pendant and earring set showcasing deep garnet-red artiticial stones with intricate detailing. A classic design that complements both traditional and contemporary attire., QAR 125.00 ,,,,
KW-DW-005 -2,Daily Wear,DW,Azure - Eva Crystal ,KW-DW-006,N/A,3,A refined silver-tone jewelry set featuring brilliant clear -look stones arranged in a graceful floral cluster. An effortlessly elegant choice for everyday luxury and special moments., QAR 125.00 ,,,,
